time,theta,q,e,H
0.224,0.184115783869169,0.659056812125127,-0.666578855419138,1
0.225,0.184774178136233,0.657731994711757,-0.666267416028863,1
0.226,0.18543124840376,0.656408812800722,-0.665955849909856,1
0.227,0.186086996306499,0.655087264883737,-0.665644157592726,1
0.228,0.18674142347769,0.653767349453496,-0.665332339607286,1
0.229,0.187394531549066,0.652449065003669,-0.66502039648256,1
0.23,0.188046322150855,0.651132410028902,-0.664708328746783,1
0.231,0.188696796911781,0.649817383024822,-0.664396136927396,1
0.232,0.189345957459061,0.648503982488028,-0.664083821551054,1
0.233,0.189993805418412,0.647192206916099,-0.663771383143626,1
0.234,0.190640342414048,0.645882054807589,-0.663458822230189,1
0.235,0.191285570068681,0.644573524662029,-0.663146139335038,1
0.236,0.191929490003526,0.643266614979927,-0.662833334981679,1
0.237,0.192572103838296,0.641961324262763,-0.662520409692838,1
0.238,0.193213413191207,0.640657651012997,-0.662207363990452,1
0.239,0.193853419678979,0.639355593734063,-0.661894198395679,1
0.24,0.194492124916834,0.63805515093037,-0.661580913428893,1
0.241,0.1951295305185,0.636756321107302,-0.661267509609688,1
0.242,0.195765638096211,0.635459102771218,-0.660953987456876,1
0.243,0.196400449260707,0.634163494429453,-0.66064034748849,1
0.244,0.197033965621237,0.632869494590314,-0.660326590221784,1
0.245,0.197666188785559,0.631577101763086,-0.660012716173236,1
0.246,0.198297120359938,0.630286314458023,-0.659698725858545,1
0.247,0.198926761949152,0.628997131186358,-0.659384619792633,1
0.248,0.199555115156492,0.627709550460296,-0.659070398489648,1
0.249,0.200182181583759,0.626423570793013,-0.658756062462964,1
0.25,0.200807962831269,0.625139190698663,-0.65844161222518,1
0.251,0.201432460497853,0.62385640869237,-0.658127048288121,1
0.252,0.202055676180855,0.62257522329023,-0.657812371162842,1
0.253,0.20267761147614,0.621295633009316,-0.657497581359626,1
0.254,0.203298267978087,0.620017636367669,-0.657182679387985,1
0.255,0.203917647279595,0.618741231884305,-0.656867665756662,1
0.256,0.204535750972082,0.617466418079211,-0.65655254097363,1
0.257,0.205152580645486,0.616193193473348,-0.656237305546096,1
0.258,0.205768137888269,0.614921556588645,-0.655921959980498,1
0.259,0.206382424287412,0.613651505948006,-0.655606504782507,1
0.26,0.206995441428421,0.612383040075304,-0.655290940457031,1
0.261,0.207607190895327,0.611116157495385,-0.654975267508212,1
0.262,0.208217674270685,0.609850856734064,-0.654659486439428,1
0.263,0.208826893135577,0.608587136318128,-0.654343597753293,1
0.264,0.209434849069612,0.607324994775335,-0.65402760195166,1
0.265,0.210041543650928,0.606064430634412,-0.653711499535621,1
0.266,0.210646978456191,0.604805442425056,-0.653395291005505,1
0.267,0.211251155060599,0.603548028677935,-0.653078976860885,1
0.268,0.211854075037878,0.602292187924686,-0.65276255760057,1
0.269,0.21245573996029,0.601037918697915,-0.652446033722616,1
0.27,0.213056151398628,0.599785219531198,-0.652129405724317,1
0.271,0.213655310922218,0.59853408895908,-0.651812674102214,1
0.272,0.214253220098922,0.597284525517075,-0.651495839352091,1
0.273,0.214849880495141,0.596036527741664,-0.651178901968975,1
